fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,white wine,red wine
0.2148760330578512,0.15333333333333332,0.16867469879518077,0.013803680981595092,0.04658901830282862,0.03819444444444444,0.26036866359447003,0.0923462502409862,0.4566929133858264,0.16292134831460675,0.34782608695652173,1.0,0.0
0.7024793388429752,0.27999999999999997,0.29518072289156627,0.024539877300613498,0.13311148086522465,0.01388888888888889,0.018433179723502304,0.25236167341430615,0.35433070866141714,0.12359550561797754,0.2318840579710144,0.0,1.0
0.36363636363636354,0.08666666666666666,0.2891566265060241,0.012269938650306747,0.05324459234608968,0.03472222222222222,0.2142857142857143,0.16753422016579833,0.3385826771653542,0.19662921348314605,0.2753623188405798,1.0,0.0
0.25619834710743805,0.04000000000000001,0.22891566265060243,0.006134969325153375,0.05324459234608968,0.07291666666666666,0.1728110599078341,0.06400616926932656,0.22834645669291298,0.1797752808988764,0.49275362318840576,1.0,0.0
0.2644628099173554,0.05333333333333333,0.1927710843373494,0.11809815950920247,0.059900166389351084,0.12847222222222224,0.2764976958525346,0.16753422016579833,0.3700787401574801,0.06741573033707866,0.17391304347826075,1.0,0.0
0.4132231404958677,0.33999999999999997,0.10843373493975904,0.035276073619631906,0.13311148086522465,0.03819444444444444,0.1566820276497696,0.19799498746867172,0.3149606299212597,0.1797752808988764,0.2028985507246377,0.0,1.0
0.5371900826446281,0.12666666666666665,0.33734939759036153,0.012269938650306747,0.0632279534109817,0.006944444444444444,0.004608294930875577,0.146520146520146,0.3307086614173227,0.16292134831460675,0.5507246376811596,0.0,1.0
0.23966942148760328,0.08,0.18072289156626506,0.012269938650306747,0.02662229617304493,0.05555555555555555,0.16129032258064516,0.07576633892423601,0.29133858267716484,0.12359550561797754,0.4347826086956521,1.0,0.0
0.3223140495867768,0.06666666666666667,0.21084337349397592,0.07975460122699386,0.07653910149750416,0.08333333333333333,0.31797235023041476,0.1667630614999034,0.393700787401575,0.1797752808988764,0.3188405797101448,1.0,0.0
0.2148760330578512,0.09999999999999999,0.21084337349397592,0.14877300613496933,0.054908485856905165,0.1840277777777778,0.3087557603686636,0.18488529014845057,0.38582677165354307,0.14044943820224715,0.17391304347826075,1.0,0.0
0.2148760330578512,0.36,0.07228915662650602,0.06288343558282208,0.08485856905158069,0.1111111111111111,0.4377880184331797,0.1629072681704251,0.3779527559055116,0.14606741573033705,0.1304347826086958,1.0,0.0
